RETAILER_CODE,RANG,GAME_CODE_RECOMMANDE,SCORE_POPULARITE_GLOBALE
10000001,1,2,27338977750
10000001,2,5,1409640750
10000001,3,3,1408458250
10000001,4,6,830053250
10000001,5,7,289751000
20201001,1,5,1409636500
20201001,2,3,1408451500
20201001,3,6,830053250
20201001,4,7,289751000
20201001,5,9,0
20202701,1,3,1408306750
20202701,2,6,829944750
20202701,3,7,289714250
20202701,4,9,0
20202701,5,10,0
20203301,1,5,1408066750
20203301,2,6,829254250
20203301,3,7,289509750
20203301,4,9,0
20203301,5,10,0
20203801,1,3,1407885500
20203801,2,6,829840250
20203801,3,7,289719500
20203801,4,9,0
20203801,5,10,0
20204101,1,3,1408426250
20204101,2,6,830032250
20204101,3,7,289749500
20204101,4,9,0
20204101,5,10,0
20204401,1,5,1409400500
20204401,2,6,830015000
20204401,3,7,289739000
20204401,4,9,0
20204401,5,10,0
20205101,1,2,27338978250
20205101,2,3,1408441250
20205101,3,6,829997750
20205101,4,7,289727000
20205101,5,9,0
20205301,1,3,1408398750
20205301,2,6,829994750
20205301,3,7,289746000
20205301,4,9,0
20205301,5,10,0
20205801,1,2,27338930750
20205801,2,3,1408442250
20205801,3,6,830052750
20205801,4,7,289751000
20205801,5,9,0
20206101,1,2,27338976250
20206101,2,5,1409640750
20206101,3,3,1408458250
20206101,4,6,830053250
20206101,5,7,289751000
20206901,1,1,450198843600
20206901,2,2,27338978250
20206901,3,5,1409640750
20206901,4,3,1408458250
20206901,5,6,830053250
20207001,1,1,450200574200
20207001,2,2,27338978250
20207001,3,5,1409640750
20207001,4,3,1408458250
20207001,5,6,830053250
20207101,1,1,450200870800
20207101,2,2,27338978250
20207101,3,5,1409640750
20207101,4,3,1408458250
20207101,5,6,830053250
20207501,1,5,1409384250
20207501,2,3,1408172000
20207501,3,7,289548750
20207501,4,9,0
20207501,5,10,0
20211250,1,2,27338978250
20211250,2,5,1408986500
20211250,3,6,829389750
20211250,4,7,289679250
20211250,5,9,0
20217101,1,3,1408361250
20217101,2,6,829939750
20217101,3,7,289718750
20217101,4,9,0
20217101,5,10,0
20217301,1,3,1407955250
20217301,2,6,829672250
20217301,3,7,289625250
20217301,4,9,0
20217301,5,10,0
20217601,1,3,1407815250
20217601,2,5,1407681750
20217601,3,7,287011500
20217601,4,9,0
20217601,5,10,0
20218001,1,2,27338967000
20218001,2,5,1409638750
20218001,3,3,1408458250
20218001,4,7,289745000
20218001,5,9,0
20225901,1,3,1408389250
20225901,2,6,829905500
20225901,3,7,289738750
20225901,4,9,0
20225901,5,10,0
20235901,1,5,1409632000
20235901,2,6,830048250
20235901,3,7,289750500
20235901,4,9,0
20235901,5,10,0
20279601,1,3,1408294000
20279601,2,6,829826500
20279601,3,7,289598250
20279601,4,9,0
20279601,5,10,0
20308801,1,3,1408131750
20308801,2,6,829839500
20308801,3,7,289698250
20308801,4,9,0
20308801,5,10,0
20400101,1,5,1409563000
20400101,2,6,830043500
20400101,3,7,289745250
20400101,4,9,0
20400101,5,10,0
20400301,1,2,27338947250
20400301,2,5,1409640750
20400301,3,3,1408458250
20400301,4,6,830053250
20400301,5,7,289751000
20401101,1,5,1409359000
20401101,2,6,829983250
20401101,3,7,289716250
20401101,4,9,0
20401101,5,10,0
20418201,1,3,1408283500
20418201,2,6,829827500
20418201,3,7,289718500
20418201,4,9,0
20418201,5,10,0
20600301,1,2,27334616250
20600301,2,5,1409640750
20600301,3,3,1408458250
20600301,4,6,830053250
20600301,5,7,289751000
20624301,1,5,1408989000
20624301,2,3,1408288750
20624301,3,7,288864500
20624301,4,9,0
20624301,5,10,0
20800001,1,5,1409481000
20800001,2,6,829965750
20800001,3,7,289712750
20800001,4,9,0
20800001,5,10,0
20801501,1,3,1408408250
20801501,2,6,830007500
20801501,3,7,289700500
20801501,4,9,0
20801501,5,10,0
20801701,1,2,27338978250
20801701,2,3,1408365250
20801701,3,6,829988000
20801701,4,7,289729000
20801701,5,9,0
20801801,1,2,27338961000
20801801,2,5,1409640750
20801801,3,3,1408458250
20801801,4,6,830053250
20801801,5,7,289751000
20802001,1,5,1409364500
20802001,2,6,829939750
20802001,3,7,289644750
20802001,4,9,0
20802001,5,10,0
20805601,1,3,1408288500
20805601,2,6,829975750
20805601,3,7,289741500
20805601,4,9,0
20805601,5,10,0
20806501,1,5,1405462750
20806501,2,6,828983250
20806501,3,7,289406250
20806501,4,9,0
20806501,5,10,0
20826200,1,3,1408349500
20826200,2,6,829721500
20826200,3,7,289657750
20826200,4,9,0
20826200,5,10,0
20826601,1,3,1408188500
20826601,2,6,829816250
20826601,3,7,289704750
20826601,4,9,0
20826601,5,10,0
20900210,1,2,27338978250
20900210,2,5,1408299500
20900210,3,3,1407304500
20900210,4,7,289460250
20900210,5,9,0
20900910,1,2,27338974000
20900910,2,5,1409640750
20900910,3,3,1408458250
20900910,4,6,830051000
20900910,5,7,289751000
20905520,1,3,1407963250
20905520,2,6,829229750
20905520,3,7,289517750
20905520,4,9,0
20905520,5,10,0
21000301,1,5,1409475750
21000301,2,6,830017750
21000301,3,7,289654000
21000301,4,9,0
21000301,5,10,0
21027000,1,5,1409287000
21027000,2,6,829908500
21027000,3,7,289705750
21027000,4,9,0
21027000,5,10,0
21100001,1,2,27338028500
21100001,2,3,1407801500
21100001,3,7,289548000
21100001,4,9,0
21100001,5,10,0
21100160,1,3,1406434750
21100160,2,6,827625000
21100160,3,7,288600000
21100160,4,9,0
21100160,5,10,0
21101850,1,3,1407787750
21101850,2,6,829155000
21101850,3,7,289469000
21101850,4,9,0
21101850,5,10,0
21102301,1,1,450179212900
21102301,2,5,1409640750
21102301,3,3,1408458250
21102301,4,6,830053250
21102301,5,7,289751000
21104701,1,3,1408055750
21104701,2,6,829776000
21104701,3,7,289582500
21104701,4,9,0
21104701,5,10,0
21104801,1,3,1403351250
21104801,2,5,1403062750
21104801,3,7,288153000
21104801,4,9,0
21104801,5,10,0
21105001,1,2,27338978250
21105001,2,3,1408434250
21105001,3,6,830031750
21105001,4,7,289749250
21105001,5,9,0
21105501,1,3,1407886500
21105501,2,6,829747000
21105501,3,7,289533500
21105501,4,9,0
21105501,5,10,0
21105801,1,3,1408442250
21105801,2,6,830026750
21105801,3,7,289750000
21105801,4,9,0
21105801,5,10,0
21107401,1,2,27338978250
21107401,2,5,1409631750
21107401,3,3,1408437250
21107401,4,7,289740500
21107401,5,9,0
21107601,1,2,27320812250
21107601,2,5,1409640750
21107601,3,3,1408458250
21107601,4,6,830053250
21107601,5,7,289751000
21108020,1,5,1407695500
21108020,2,6,828831750
21108020,3,7,289115250
21108020,4,9,0
21108020,5,10,0
21110401,1,2,27338959750
21110401,2,5,1409190250
21110401,3,7,289461250
21110401,4,9,0
21110401,5,10,0
21111301,1,5,1409639250
21111301,2,3,1408457750
21111301,3,6,830050250
21111301,4,7,289751000
21111301,5,9,0
21117001,1,1,450200904800
21117001,2,5,1409640750
21117001,3,3,1408458250
21117001,4,6,830053250
21117001,5,7,289751000
21125901,1,5,1409525500
21125901,2,6,829901000
21125901,3,7,289729000
21125901,4,9,0
21125901,5,10,0
21126501,1,5,1409551000
21126501,2,3,1408375000
21126501,3,7,289743000
21126501,4,9,0
21126501,5,10,0
21126700,1,3,1407930500
21126700,2,6,829734000
21126700,3,7,289700500
21126700,4,9,0
21126700,5,10,0
21146501,1,5,1408995250
21146501,2,6,829799250
21146501,3,7,289622000
21146501,4,9,0
21146501,5,10,0
21146701,1,3,1408419500
21146701,2,6,830025000
21146701,3,7,289729500
21146701,4,9,0
21146701,5,10,0
21146901,1,3,1408362500
21146901,2,6,829972500
21146901,3,7,289697250
21146901,4,9,0
21146901,5,10,0
21200301,1,2,27338775500
21200301,2,5,1409640750
21200301,3,3,1408458250
21200301,4,6,830053250
21200301,5,7,289751000
21200501,1,5,1409640750
21200501,2,3,1408458250
21200501,3,6,830039250
21200501,4,7,289743000
21200501,5,9,0
21201230,1,3,1407306750
21201230,2,6,829370750
21201230,3,7,289566500
21201230,4,9,0
21201230,5,10,0
21201901,1,2,27338025750
21201901,2,6,828559000
21201901,3,7,289536250
21201901,4,9,0
21201901,5,10,0
21202250,1,5,1409532250
21202250,2,6,830014750
21202250,3,7,289704500
21202250,4,9,0
21202250,5,10,0
21211401,1,5,1409542000
21211401,2,3,1408413500
21211401,3,7,289712500
21211401,4,9,0
21211401,5,10,0
21217101,1,5,1409408750
21217101,2,3,1408169250
21217101,3,7,289668500
21217101,4,9,0
21217101,5,10,0
21226200,1,5,1409639750
21226200,2,3,1408458250
21226200,3,6,830052250
21226200,4,7,289749000
21226200,5,9,0
21300301,1,3,1408226000
21300301,2,6,829883500
21300301,3,7,289724500
21300301,4,9,0
21300301,5,10,0
21301010,1,2,27338977250
21301010,2,6,829599750
21301010,3,7,289522500
21301010,4,9,0
21301010,5,10,0
21302301,1,3,1408022750
21302301,2,6,829804250
21302301,3,7,289668500
21302301,4,9,0
21302301,5,10,0
21302401,1,2,27337846000
21302401,2,5,1409640750
21302401,3,3,1408458250
21302401,4,6,830052750
21302401,5,7,289751000
21400110,1,2,27338614750
21400110,2,3,1408094750
21400110,3,7,289642750
21400110,4,9,0
21400110,5,10,0
21400401,1,2,27338970000
21400401,2,5,1409640750
21400401,3,3,1408458250
21400401,4,6,830053250
21400401,5,7,289751000
21517001,1,3,1407666000
21517001,2,6,829216750
21517001,3,7,289418750
21517001,4,9,0
21517001,5,10,0
21900001,1,5,1409640750
21900001,2,3,1408458250
21900001,3,6,830024250
21900001,4,7,289750500
21900001,5,9,0
22000101,1,1,450199786300
22000101,2,2,27338978250
22000101,3,5,1409640750
22000101,4,3,1408458250
22000101,5,6,830053250
22000201,1,1,450199782100
22000201,2,2,27338978250
22000201,3,5,1409640750
22000201,4,3,1408458250
22000201,5,6,830053250
25400101,1,3,1322675500
25400101,2,6,769916000
25400101,3,7,264823500
25400101,4,9,0
25400101,5,10,0
25400401,1,2,27338975750
25400401,2,3,1408348750
25400401,3,7,289727500
25400401,4,9,0
25400401,5,10,0
25400601,1,1,450074996850
25400601,2,2,27338978250
25400601,3,5,1409640750
25400601,4,3,1408458250
25400601,5,6,830053250
25400701,1,5,1409622000
25400701,2,3,1408451500
25400701,3,7,289743750
25400701,4,9,0
25400701,5,10,0
25400901,1,2,27336243250
25400901,2,5,1409640750
25400901,3,3,1408458250
25400901,4,6,830053250
25400901,5,7,289751000
25401101,1,5,1409589500
25401101,2,3,1408389750
25401101,3,6,830038250
25401101,4,7,289751000
25401101,5,9,0
25401201,1,3,1408296750
25401201,2,6,829910750
25401201,3,7,289749000
25401201,4,9,0
25401201,5,10,0
25401301,1,2,27338978250
25401301,2,5,1409639750
25401301,3,3,1408457750
25401301,4,6,830053250
25401301,5,7,289751000
25401501,1,2,27338978250
25401501,2,3,1408457250
25401501,3,6,830052750
25401501,4,7,289751000
25401501,5,9,0
25401601,1,5,1408717500
25401601,2,6,829774250
25401601,3,7,289663250
25401601,4,9,0
25401601,5,10,0
25401701,1,5,1409331750
25401701,2,6,829914750
25401701,3,7,289706250
25401701,4,9,0
25401701,5,10,0
25401801,1,3,1408363500
25401801,2,6,830003750
25401801,3,7,289734750
25401801,4,9,0
25401801,5,10,0
26100201,1,5,1409624750
26100201,2,3,1408418250
26100201,3,7,289730500
26100201,4,9,0
26100201,5,10,0
26100301,1,5,1409627000
26100301,2,3,1408448000
26100301,3,6,830045750
26100301,4,7,289751000
26100301,5,9,0
26100401,1,3,1408237250
26100401,2,6,829818000
26100401,3,7,289592750
26100401,4,9,0
26100401,5,10,0
26100501,1,2,27338977250
26100501,2,5,1409640750
26100501,3,3,1408458250
26100501,4,6,830053250
26100501,5,7,289751000
26100601,1,1,450200660800
26100601,2,2,27338978250
26100601,3,5,1409640750
26100601,4,3,1408458250
26100601,5,6,830053250
26108101,1,3,1407782000
26108101,2,6,829329000
26108101,3,7,289418000
26108101,4,9,0
26108101,5,10,0
26115701,1,2,27328131750
26115701,2,5,1409640750
26115701,3,3,1408458250
26115701,4,6,830053250
26115701,5,7,289748250
26116600,1,2,27338978250
26116600,2,5,1409637250
26116600,3,3,1408455500
26116600,4,7,289748500
26116600,5,9,0
28800101,1,1,450200903800
28800101,2,2,27338978250
28800101,3,5,1409640750
28800101,4,3,1408458250
28800101,5,6,830053250
28900201,1,3,1408312000
28900201,2,6,829947500
28900201,3,7,289726000
28900201,4,9,0
28900201,5,10,0
28900810,1,2,27338832750
28900810,2,6,827588000
28900810,3,7,289647750
28900810,4,9,0
28900810,5,10,0
28900901,1,3,1407225250
28900901,2,6,829542000
28900901,3,7,289541500
28900901,4,9,0
28900901,5,10,0
28901701,1,5,1408742750
28901701,2,3,1407405500
28901701,3,7,289265000
